tff_id,team,player,tff_pos,tff_cost,2024-08-16T19:00:00Z,2024-08-17T11:30:00Z,2024-08-17T14:00:00Z,2024-08-17T16:30:00Z,2024-08-18T13:00:00Z,2024-08-18T15:30:00Z,2024-08-19T19:00:00Z,2024-08-24T11:30:00Z,2024-08-24T14:00:00Z,2024-08-24T16:30:00Z,2024-08-25T13:00:00Z,2024-08-25T15:30:00Z,2024-08-31T11:30:00Z,2024-08-31T14:00:00Z,2024-08-31T16:30:00Z,2024-09-01T12:30:00Z,2024-09-01T15:00:00Z,2024-09-14T11:30:00Z,2024-09-14T14:00:00Z,2024-09-14T16:30:00Z,2024-09-14T19:00:00Z,2024-09-15T13:00:00Z,2024-09-15T15:30:00Z,2024-09-21T11:30:00Z,2024-09-21T14:00:00Z,2024-09-21T16:30:00Z,2024-09-22T13:00:00Z,2024-09-22T15:30:00Z,2024-09-28T11:30:00Z,2024-09-28T14:00:00Z,2024-09-28T16:30:00Z,2024-09-29T13:00:00Z,2024-09-29T15:30:00Z,2024-09-30T19:00:00Z,total_pts,ppm
467189,LEI,Hermansen,G,2.6,0.0,0.0,0.0,0.0,0.0,0.0,3.58,0.0,3.52,0.0,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,3.35,0.0,0.0,0.0,0.0,0.0,3.86,0.0,0.0,0.0,0.0,2.41,0.0,0.0,0.0,0.0,20.37,7.83
475168,BHA,João Pedro,F,3.3,0.0,0.0,3.38,0.0,0.0,0.0,0.0,3.91,0.0,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,0.0,3.08,0.0,0.0,0.0,0.0,20.29,6.15
517052,CHE,N.Jackson,F,4.0,0.0,0.0,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,3.53,0.0,0.0,0.0,0.0,3.66,0.0,0.0,0.0,0.0,3.18,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0,20.27,5.07
446008,BRE,Mbeumo,F,3.9,0.0,0.0,0.0,0.0,3.66,0.0,0.0,0.0,0.0,0.0,0.0,2.97,0.0,3.97,0.0,0.0,0.0,0.0,2.62,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.0,20.22,5.19
84182,WHU,Areola,G,3.3,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,3.28,0.0,0.0,0.0,0.0,0.0,3.54,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,3.31,0.0,0.0,0.0,0.0,0.0,3.13,0.0,0.0,0.0,0.0,20.22,6.13
493105,MUN,Garnacho,F,3.8,3.79,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,3.38,0.0,20.04,5.27
155511,SOU,Armstrong,F,3.0,0.0,0.0,3.17,0.0,0.0,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.0,3.07,0.0,0.0,0.0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.02,6.67
220566,MCI,Rodrigo,M,4.4,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,3.92,0.0,0.0,0.0,0.0,0.0,3.39,0.0,0.0,0.0,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,3.13,0.0,0.0,0.0,0.0,0.0,20.0,4.55
177815,EVE,Calvert-Lewin,F,4.9,0.0,0.0,3.71,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,3.54,0.0,0.0,0.0,0.0,0.0,3.06,0.0,0.0,0.0,0.0,3.16,0.0,0.0,0.0,0.0,3.15,0.0,0.0,0.0,0.0,19.92,4.06
58376,SOU,McCarthy,G,2.4,0.0,0.0,2.46,0.0,0.0,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.0,2.99,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,19.86,8.27
